time,open,high,low,close,Buy Signal,Sell Signal,Volume,Volume MA
1372291200,98.75,98.76,86.2,88.98,NaN,NaN,27868.57016045,27322.058616345494
1372550400,88.83,90.3,80.94,88,NaN,NaN,35911.53459261,25632.955337277992
1372809600,88.04,89.56,63.26,66.93,NaN,NaN,75633.6835987,27304.85824376549
1373068800,67.13,76.94,63,74.4,NaN,NaN,42774.05860017,27947.116088552488
1373328000,74,89.96,70.25,87.13,NaN,NaN,60495.24101871,30044.930983469985
1373587200,87.81,100,86.6,90.03,NaN,NaN,43268.32727959,30886.018979038483
1373846400,90.02,95,88.11,90.97,NaN,NaN,29721.00102909,31314.901357507984
1374105600,90.96,91,77,85.04,NaN,NaN,34588.10168878,32394.410139893986
1374364800,85.02,88.88,82,86.98,NaN,NaN,24240.38168764,32072.330113906482
1374624000,86.88,91.77,85.73,89.95,NaN,NaN,26193.88560157,32558.195310010982
1374883200,89.97,94.01,87.8,93.39,NaN,NaN,21034.3475317,32337.315027922985
1375142400,93.45,101,92.7,96.62,NaN,NaN,36552.912446689996,32956.03251618799
1375401600,96.63,98.71,93.03,96.38,NaN,NaN,23072.69099855,33031.708171257495
1375660800,96.38,98.98,95.5,97.09,NaN,NaN,27379.8811798,32988.02916121249
1375920000,97.09,97.14,90,93.51,NaN,NaN,29443.73074367,31984.945166703495
1376179200,93.51,98.19,93.12,98.15,NaN,NaN,21907.571252460002,31762.408076292
1376438400,97.75,101,96.5,98.25,NaN,NaN,36837.15585281,32998.320450622
1376697600,98.26,105.16,97.48,102.85,NaN,NaN,28514.681856479998,33151.7143181775
1376956800,102.85,114,100.38,109.12,NaN,NaN,47670.204529040006,34652.2554807085
1377216000,109.12,113.28,104.2,113.12,NaN,NaN,23145.52601036,34812.6743829435
1377475200,113.12,119.63,110.27,117.91,NaN,NaN,39963.27422992,35417.40958641701
1377734400,117.91,134.95,117,128,NaN,NaN,47145.04048691,35979.08488113201
1377993600,127.9,132.09,126.79,129.18,NaN,NaN,28955.53965867,33645.17768413051
1378252800,129.2,129.94,115.21,117.67,NaN,NaN,57449.09067918001,34378.92928808101
1378512000,116.56,124.13,115,121.68,NaN,NaN,36481.40972569,33178.237723430015
1378771200,121.68,128.5,118,126.38,NaN,NaN,43726.31424154,33201.13707152752
1379030400,126.38,128.79,123,125.36,NaN,NaN,23382.69546146,32884.22179314602
1379289600,125.36,128,124.03,127,NaN,NaN,29950.67247771,32652.350332592516
1379548800,127,127.95,121.16,123.39,NaN,NaN,24895.52025493,32685.10726095702
1379808000,123.38,124.01,121.54,123.86,NaN,NaN,20802.19240032,32415.522600894514
1380067200,123.75,126.96,123,126.95,NaN,NaN,27955.35102633,32761.572775626013
1380326400,126.95,128.8,122.77,126.25,NaN,NaN,24596.17758765,32163.736032674013
1380585600,126.25,127.93,85,117.63,NaN,NaN,94265.98781876,35723.40087368451
1380844800,117.62,122.98,116.48,122.49,NaN,NaN,20063.553284690002,35357.58447892901
1381104000,122.49,127.99,120.11,125.9,NaN,NaN,44002.26971151,36085.51142732101
1381363200,125.79,128,124.9,127.98,NaN,NaN,26820.12404133,36331.13906676451
1381622400,127.58,147.39,127.57,142.76,NaN,NaN,56062.507494150006,37292.40664883151
1381881600,142.75,154.69,135,152.89,NaN,NaN,66107.17977249,39172.03154463201
1382140800,152.89,181.93,152.44,180.13,NaN,NaN,76742.04963185001,40625.62379977251
1382400000,180.15,206.6,156.2,193.87,NaN,NaN,121785.00891633,45557.59794507101
1382659200,194,195,167.67,194,NaN,NaN,52519.42946,46185.40570657501
1382918400,194.99,206,190.8,197.54,NaN,NaN,54487.3191205,46552.519638254504
1383177600,197.58,205.15,195.1,204.86,NaN,NaN,25304.398007820004,46369.96255571201
1383436800,204.86,250.79,203.51,242.9,NaN,NaN,82073.45193706,47601.180618606006
1383696000,242.9,334.45,241.11,334,NaN,NaN,129916.71731241999,52272.94599794251
1383955200,333.9,363.65,265.01,343.91,NaN,NaN,138541.99750529998,57013.73016113051
1384214400,343.63,421.97,340.01,416.95,NaN,NaN,90076.56090637001,60348.42343337601
1384473600,416.88,480,390,477.38,NaN,NaN,76298.26145177,62665.80288207901
1384732800,478.1,755,378,599,NaN,NaN,186310,70736.5268693325
1384992000,600,874.81,580.37,829.5,NaN,NaN,76072,73500.01724931652
1385251200,829.15,919,747,916.86,NaN,NaN,72874,75745.94969800001
1385510400,915.01,1141,879.99,1132,NaN,NaN,89013,78966.79081861752
1385769600,1131.99,1163,795.6,1040,NaN,NaN,105943,79550.64142767951
1386028800,1037.11,1153.27,848.42,1035.67,NaN,NaN,82150,82654.963763445
